UniProtID,scale
A0PJY2,102.74801665522398
A0PJZ3,93.66073691812691
A1A4G5,101.94709834102626
A1A4S6,70.4445921545929
A1A4V9,75.17911418811467
A1A4Y4,167.66274364360973
A1A5B4,82.52185851757552
A1A5D9,29.60433999626837
A1A519,76.6482493867531
A1A580,147.6908989674817
A1IGU5,49.75617482778016
A1KXE4,103.98709882547924
A1L0T0,69.51113705224503
A1L3X0,139.62996461715647
A1L4K1,50.43724451832747
A1L162,85.63285466677729
A1L170,97.11556741430692
A1L429,83.2851616049812
A1XBS5,76.76895702573741
A1Z1Q3,78.11573542238727
A2A2Y4,66.42451706393607
A2AJT9,63.23938517254244
A2IDD5,72.08499377170787
A2RU49,140.5738845795795
A2RU54,96.57405310362071
A2RU67,77.42875523961635
A2RUB6,60.42645064709423
A2RUR9,39.35990837798207
A2RUS2,88.06039017376477
A2RUU4,122.74494422644908
A2VCK2,82.380188196725
A2VDF0,236.78230354425096
A2VDJ0,52.20856777372477
A4D0S4,50.83355943177555
A4D0V7,84.79567805461937
A4D1B5,70.81163850889509
A4D1E9,91.59155950617202
A4D1S0,64.18937117906819
A4D1U4,95.30462914336894
A4D2P6,62.02846651049646
A4D161,98.595377876354
A4FU69,50.730910132150576
A4GXA9,102.58520594411829
A4QPB2,196.65708663054568
A5D6W6,87.23015582341185
A5D8T8,88.0108486796824
A5D8V7,47.47456797126069
A5PL33,51.95153492099424
A5X5Y0,74.80129374497203
A5YKK6,58.60291436085668
A5YM69,41.9728292221349
A5YM72,107.04671201969845
A6H8Y1,49.80313669339641
A6H8Z2,77.0398999341488
A6NC98,26.01542526448659
A6NCF5,116.35933030322768
A6NCL7,75.81748089048996
A6ND36,64.29675450546019
A6ND91,154.76838355456596
A6NDN3,33.703648768333
A6NDU8,162.00622279817162
A6NE01,32.628272000887755
A6NEK1,96.89436799083047
A6NEM1,52.76144368485842
A6NFD8,78.31951780020978
A6NFT4,39.261190253323626
A6NGE4,83.7037461038772
A6NGG8,58.331768680346606
A6NGN9,51.854511827387945
A6NH11,103.33939419424244
A6NHC0,110.05625915749394
A6NHG4,233.5188095643921
A6NHQ4,76.57015650950676
A6NHT5,75.93519970713507
A6NHX0,180.307763046501
A6NI28,69.93515301364354
A6NI79,60.07283273113339
A6NI86,33.59471737013637
A6NIR3,75.44549586102815
A6NIV6,90.48672666446596
A6NJ69,235.1664588090162
A6NK44,114.65442209351023
A6NK59,100.45930954388076
A6NKD9,57.279656104135306
A6NKF2,67.14535941483851
A6NKQ9,107.67121429463222
A6NLC5,99.7262897868922
A6NMK7,106.78329624308527
A6NNL5,228.37470164443556
A6NNT2,47.81148486493349
A6PVS8,33.032176571083355
A6QL63,61.76027272481395
A6QL64,40.17315458631461
A7E2F4,58.03461922426608
A7KAX9,55.132793058638
A8K2U0,66.17142679465894
A8K4G0,84.23981344015412
A8K7I4,82.79015998424929
A8K855,67.42405268048422
A8K979,68.90049455169246
A8MQ03,106.58110396074036
A8MQT2,58.93062029880187
A8MT69,210.21361426867355
A8MTJ3,97.25564809696289
A8MTZ0,121.89188582809167
