UniProtID,pdb_file,multi_structure,parts,cartoons_ss_coloring,electrostatic_surface
O00192,,,,66.87300608927038,70.90613793646445
O00193,,,,82.77408699048777,91.5743863181422
O00198,,,,146.12005890877938,169.29046812027585
O00203,,,,56.96040167388515,60.31963130333212
O00213,,,,56.37395116935347,60.08025149520922
O00214,,,,134.64104352258454,151.16676975675492
O00219,,,,114.20102279647524,126.29670176405264
O00222,,,,50.96297814576115,55.49604787363158
O00230,,,,101.52625221566647,109.78230960518012
O00238,,,,89.8364662387812,96.04915632597805
O00244,,,,296.31210784976,351.78543749736497
O00253,,,,97.7303997092852,109.26004369291375
O00254,,,,97.51652709832484,104.734436710594
O00257,,,,61.45887029918988,65.51226731749232
O00273,,,,63.60870316371033,66.08936451014822
O00291,,,,45.254743649953184,47.467768620875226
O00292,,,,93.20692300097512,105.21106043193733
O00299,,,,151.3485840180794,172.67479214862598
O00303,,,,76.75048378790076,81.28378592273262
O00305,,,,61.157148189622994,64.91490952122517
O00311,,,,74.34659817998359,80.31804341537071
O00321,,,,70.91801681926785,76.34651832194423
O00327,,,,58.183751151646085,61.0342188166622
O00358,,,,71.42656784679,77.04508860095048
O00399,,,,138.42280461634644,153.68944889826813
O00409,,,,71.5388020543827,79.9596908620448
O00410,,,,75.37902479645828,79.53745043588913
O00418,,,,75.93235420886032,82.45537952481206
O00421,,,,65.01603596333157,71.12605902623395
O00423,,,,85.53986121508146,93.17650664725488
O00425,,,,91.62895931763951,102.72015574555388
O00429,,,,55.52620855558743,57.66735203598266
O00451,,,,79.05692736973677,85.37793850898287
O00453,,,,93.22187690720996,101.59738483899712
O00458,,,,94.40886417519695,104.78536648593894
O00461,,,,30.320166764034,31.2328636557938
O00468,,,,67.1768366629688,71.61910844475771
O00471,,,,66.5422697137347,70.50744267276406
O00472,,,,69.1437805419727,75.65132008807844
O00478,,,,46.086378946085865,47.61400377335452
O00479,,,,99.45511046052852,105.512443546278
O00481,,,,51.54586811216628,53.30692098023378
O00499,,,,78.05642275580826,84.03736849220655
O00501,,,,105.46864313084284,114.7797010435254
O00505,,,,91.06423958188894,94.87976795007047
O00512,,,,53.35748077464813,56.04839092524085
O00515,,,,70.13284238961863,75.95988276020648
O00519,,,,99.07382447380874,107.34499829930812
O00522,,,,81.98328624270583,90.37263258839712
O00533,,,,64.55051744239393,70.611454745162
O00548,,,,58.6527121787478,61.0736130698705
O00555,,,,55.27115216265587,57.93758080521974
O00559,,,,105.8725364837478,116.12467615451304
O00571,,,,64.94652144371109,70.7978066371789
O00574,,,,80.72667649311991,87.22926365353756
O00585,,,,100.5551641841354,109.25569130977858
O00590,,,,72.92560959289804,77.94808116326134
O00602,,,,92.27317806114014,101.1026476648026
O00622,,,,77.7968343179166,84.30735980061179
O00626,,,,121.06712729547516,138.77303618760715
O00629,,,,77.70739762151274,81.5077130728715
O00716,,,,53.07148111143304,57.8615863534592
O00748,,,,70.1965879239346,74.1056538705572
O00757,,,,135.98597858646536,155.65998582647953
O00763,,,,51.50987041824839,53.76633434707357
O14490,,,,57.301194123082354,60.99681599606125
O14493,,,,94.98968007626124,100.16955919549214
O14497,,,,46.87567820871472,48.94124675533399
O14498,,,,72.6973000709526,78.24722702689387
O14503,,,,61.49011545544678,66.31042197029589
O14514,,,,43.1237004627788,46.07913753252594
O14519,,,,111.41589119541877,118.99917369366248
O14523,,,,69.36772334958602,75.15025264050271
O14526,,,,55.71011647778508,58.49491202625652
O14529,,,,51.911100972224204,54.46162664998477
O14531,,,,80.62741000672055,89.24407000827523
O14548,,,,103.37580468662374,109.72482701069056
O14556,,,,74.5381621497628,80.00613482325684
O14558,,,,155.82435421288042,189.0722661037384
O14559,,,,57.91313485566714,61.34722140862262
O14569,,,,142.57902398239884,150.78909016257776
O14576,,,,60.86551066658318,64.24280915765873
O14578,,,,51.4529360326665,55.21617530128167
O14579,,,,85.62657147957628,89.61746518003305
O14595,,,,117.83572956390424,139.53649296818986
O14599,,,,171.91171891216808,200.32459049729783
O14602,,,,109.51513337060108,118.8996995767414
O14610,,,,147.2426792623132,172.48240091051707
O14613,,,,95.70182089810456,102.65923144413846
O14617,,,,60.61068630948023,64.34559298336708
O14618,,,,138.0843598490057,148.1259512637708
O14625,,,,122.58086840683136,133.7731150561067
O14627,,,,81.38510709220321,87.79853657588993
O14638,,,,88.74775290218395,93.87262891669955
O14639,,,,61.08676477795496,65.35776936294724
O14640,,,,61.63603198046312,67.15384389912136
O14641,,,,64.1379447109596,69.44746586136614
O14645,,,,63.001164716870576,67.06046435929102
O14646,,,,56.243855024677465,60.97741808539416
O14647,,,,55.39529378634501,59.24476982859
O14649,,,,84.60010057431582,90.98651600064696
O14653,,,,76.58793769996801,79.72253231518694
O14654,,,,50.1257951413101,53.36959472146838
O14672,,,,72.55856971306247,77.31948792505501
O14678,,,,87.09678660348594,96.02615350469888
O14681,,,,77.06041318205484,80.28203003703194
O14682,,,,96.56678263954794,106.9713057082171
